Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
2012 jeep liberty,9900,89.93,0.68,0.18,33600000,"Knowledge Panel, Site Links, Reviews","0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67,0.82,1.00,1.00,0.82"
acura mdx for sale,9900,80.73,2.66,0.67,13100000,"Knowledge Panel, Site Links, Reviews","0.67,0.67,0.67,0.82,0.82,1.00,0.82,0.82,0.82,0.82,1.00,0.82"
cantaloupe nutrition,9900,86.42,1.23,0.01,7280000,"Knowledge Panel, Images, Site Links, Reviews, Featured Snippet","0.24,0.16,0.20,0.24,0.30,0.55,0.67,0.82,1.00,1.00,1.00,0.82"
healthy diet plan,9900,89.29,2.00,0.64,271000000,"Top Stories, Images, Site Links, Reviews, Featured Snippet","0.82,0.67,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.67,0.82"
korean clothes,9900,73.71,0.54,1.00,509000000,"Images, Site Links, Reviews","0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00"
michelle obama purse,9900,76.22,0.24,1.00,2610000,"Images, Reviews, Video","0.36,0.45,1.00,0.67,0.55,0.55,0.45,0.55,0.36,0.36,0.36,0.36"
trans am for sale,9900,83.23,0.20,1.00,146000000,"Local Pack, Images, Site Links, Reviews","1.00,0.67,0.67,0.82,0.82,1.00,0.82,0.82,0.82,1.00,1.00,1.00"
upstart loans,9900,83.92,18.44,0.52,1440000,"Site Links, Reviews, Featured Snippet","0.82,0.82,0.67,0.67,0.55,0.67,0.67,0.82,0.82,1.00,1.00,0.82"
american express stock,8100,90.34,3.96,0.00,321000000,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","1.00,0.82,0.67,1.00,1.00,0.82,0.82,0.82,0.67,1.00,0.82,0.82"
cadillac for sale,8100,87.94,1.21,0.91,309000000,"Images, Site Links, Reviews","1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,1.00,1.00,0.81"
home equity line of credit rates,8100,88.56,9.90,0.96,132000000,"Site Links, Reviews, Featured Snippet","0.82,0.67,0.67,0.82,0.82,1.00,1.00,0.82,0.82,0.82,1.00,0.82"
hpq stock price,8100,88.92,4.19,0.00,8310000,"Instant Answer, Knowledge Panel, Top Stories, Reviews","0.82,0.67,0.55,0.55,0.82,1.00,0.67,0.67,0.55,0.45,0.67,0.45"
kitchen remodel near me,8100,74.11,6.97,0.69,80800000,"Local Pack, Site Links","0.67,0.55,0.55,1.00,1.00,1.00,1.00,0.82,0.82,1.00,1.00,0.82"
nspr stock,8100,89.08,10.58,0.01,86000,"Instant Answer, Knowledge Panel, Images, Site Links, Reviews","1.00,0.45,0.30,0.36,0.45,0.24,0.45,0.36,0.11,0.09,0.24,0.55"
red satin dress,8100,87.64,0.62,1.00,297000000,"Images, Site Links, Reviews","0.67,0.67,0.67,0.67,0.67,0.55,0.55,0.45,0.36,0.45,0.67,1.00"
sell used car,8100,88.02,3.52,0.84,1860000000,"Local Pack, Site Links, Reviews","0.82,0.67,0.82,0.82,0.82,1.00,0.82,1.00,1.00,1.00,1.00,1.00"
shari's berries code,8100,85.23,4.54,1.00,99600,Reviews,"0.02,0.11,0.09,0.30,1.00,0.06,0.07,0.30,0.20,0.11,0.03,0.01"
simple fast loans,8100,69.04,3.26,0.02,63000000,"Site Links, Reviews","0.36,0.45,0.45,0.45,0.30,0.36,0.82,0.82,0.82,0.82,1.00,1.00"
2013 cadillac ats,6600,93.15,0.67,0.25,12100000,"Knowledge Panel, Site Links, Reviews, Video","0.67,0.67,0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.82"
bonobos promo code,6600,87.55,0.45,0.70,216000,"Site Links, Reviews","0.44,0.44,0.55,0.36,0.44,0.67,0.67,0.82,1.00,0.82,0.82,0.82"
employment lawyers near me,6600,75.47,5.58,0.63,239000000,"Local Pack, Site Links, Reviews","0.81,0.67,0.54,0.81,0.67,0.81,0.81,0.81,0.81,1.00,1.00,1.00"
gabrielle chanel,6600,87.94,5.89,1.00,21100000,"Knowledge Panel, Reviews, Video","0.45,0.55,0.82,0.36,1.00,0.36,0.45,0.55,0.30,0.36,0.45,1.00"
gold cocktail dress,6600,87.13,1.02,1.00,197000000,"Images, Reviews","1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.67,1.00,1.00,1.00"
health first insurance,6600,61.94,3.08,0.47,1290000000,"Site Links, Reviews, Featured Snippet","0.45,0.45,0.55,0.55,0.36,0.36,0.45,0.55,0.67,1.00,0.67,0.55"
jeans shirt,6600,86.43,0.98,1.00,3810000000,"Images, Site Links, Reviews, Video","0.81,0.67,0.54,0.67,0.67,0.81,0.81,0.81,0.67,0.81,1.00,1.00"
modest clothing,6600,59.52,0.60,1.00,75700000,"Local Pack, Images, Site Links","0.67,0.67,0.55,0.67,0.67,1.00,0.82,0.67,0.67,0.82,0.67,0.67"
mtn stock,6600,89.64,2.63,0.00,14500000,"Instant Answer, Knowledge Panel, Site Links, Reviews, Video","0.55,0.30,0.67,1.00,0.67,0.82,0.45,0.36,0.55,0.45,0.30,0.45"
mtnb stock,6600,85.86,0.00,0.00,58300,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","1.00,0.55,0.24,0.55,0.36,0.45,0.30,0.36,0.24,0.45,0.30,0.24"
2016 volvo xc90,5400,91.70,1.47,0.32,23800000,"Knowledge Panel, Site Links, Reviews, Video","0.67,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.82,1.00,1.00,1.00"
acb stock price today,5400,89.64,4.00,0.00,97,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.19,0.29,0.24,0.55,0.67,1.00,0.82,0.82,0.55,0.55,0.67,0.55"
gti for sale,5400,82.09,1.38,0.46,74800000,"Images, Site Links, Reviews","0.81,0.67,0.67,0.81,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
kids jeans,5400,88.59,1.05,1.00,1360000000,"Images, Site Links, Reviews","0.54,0.67,0.67,0.54,0.54,0.54,0.44,0.44,0.44,0.81,1.00,0.81"
mexican wedding dress,5400,72.68,0.84,1.00,67600000,"Images, Reviews","0.44,0.36,0.36,0.55,0.44,0.44,0.44,0.55,0.55,1.00,1.00,1.00"
sky blue dress,5400,85.38,0.70,1.00,2380000000,"Images, Reviews","0.44,0.30,0.36,0.67,0.67,0.81,1.00,0.81,0.81,0.81,0.67,0.81"
used gmc yukon,5400,81.00,1.58,0.66,35900000,"Site Links, Reviews","0.82,0.82,0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82"
vistaprint free shipping,5400,84.05,1.10,0.87,1890000,"Site Links, Reviews","0.45,1.00,0.67,0.55,0.36,0.45,0.55,0.45,0.36,0.36,0.45,0.36"
yamaha motor finance,5400,78.24,1.36,0.02,25100000,Images,"0.54,0.54,0.54,0.67,0.81,0.81,0.67,0.81,1.00,1.00,0.81,0.81"
debs dresses,4400,75.57,0.49,1.00,1520000,"Images, Reviews, Video","0.67,0.55,0.55,1.00,0.82,1.00,0.82,0.55,0.44,0.36,0.36,0.67"
department of taxation and finance,4400,88.02,2.52,0.01,72200000,"Site Links, Reviews","0.24,0.19,0.24,0.36,0.82,1.00,0.82,0.44,0.36,0.29,0.29,0.36"
dhoti,4400,83.03,0.00,1.00,12900000,"Knowledge Panel, Site Links, Reviews, Featured Snippet","0.67,0.67,0.55,0.67,0.55,0.67,0.67,0.67,0.67,0.82,0.82,1.00"
emma chamberlain clothing line,4400,81.36,0.82,0.51,2270000,"Images, Site Links, Video","0.55,1.00,0.45,0.55,0.16,0.16,0.13,0.09,0.09,0.11,0.16,0.06"
fashion trends 2018,4400,88.12,2.88,0.42,365000000,"Images, Featured Snippet","1.00,1.00,0.82,0.45,0.24,0.13,0.08,0.08,0.06,0.06,0.05,0.05"
find extremely cheap last minute flights,4400,75.94,0.55,0.83,22900000,"Site Links, Reviews, Video, Featured Snippet","0.55,0.55,0.67,0.55,0.67,1.00,0.82,0.82,0.82,0.67,0.55,0.44"
iivi stock,4400,85.84,2.48,0.00,2360000,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.54,1.00,0.54,0.81,0.67,0.81,0.81,0.81,0.67,0.81,1.00,1.00"
jim's auto sales,4400,68.41,0.92,0.06,1560000,"Local Pack, Images, Site Links, Reviews, Video","0.67,0.55,0.55,0.67,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.67"
little red dress,4400,82.06,0.42,1.00,1130000000,"Images, Site Links, Reviews","0.81,0.81,0.81,1.00,1.00,0.67,0.81,0.67,0.54,0.67,0.67,0.81"
low cost health insurance,4400,87.52,7.23,0.93,253000000,"Site Links, Featured Snippet","0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.67"
parker hannifin stock,4400,88.04,4.29,0.01,1220000,"Instant Answer, Knowledge Panel, Images, Site Links, Reviews","1.00,0.81,0.81,1.00,1.00,0.81,1.00,0.81,0.67,0.81,0.81,0.81"
white gold dress,4400,86.31,0.63,1.00,924000000,"Site Links, Reviews, Featured Snippet","0.36,0.44,1.00,0.44,0.44,0.55,0.44,1.00,0.44,0.67,0.67,0.82"
yankee candle promo code,4400,88.35,0.44,0.57,2210000,"Site Links, Reviews","0.36,1.00,1.00,0.55,0.24,0.29,0.24,0.44,0.29,0.29,0.44,0.44"
300 calorie meals,3600,85.30,0.45,0.06,41100000,"Images, Site Links, Reviews","0.54,0.44,0.44,1.00,0.67,0.81,0.67,0.67,0.67,0.67,0.67,0.67"
boat neck dress,3600,91.31,0.82,1.00,114000000,"Images, Reviews","1.00,0.82,0.66,0.82,0.66,1.00,1.00,1.00,0.82,0.82,1.00,0.82"
cash loans bad credit,3600,76.83,2.77,0.27,70300000,"Local Pack, Site Links, Featured Snippet","0.82,0.82,1.00,0.66,0.55,0.55,0.82,0.82,0.82,1.00,0.66,0.66"
cheap travel deals,3600,84.40,0.82,0.77,375000000,"Instant Answer, Site Links, Reviews","0.66,0.66,0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.66,0.55"
costco dental insurance,3600,78.58,2.86,0.26,6950000,Reviews,"0.82,1.00,0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,1.00,1.00"
gray desk,3600,90.86,0.91,1.00,2910000000,"Images, Reviews","0.67,0.81,0.67,0.81,0.67,0.67,0.54,0.54,0.54,0.81,1.00,0.67"
love culture clothing,3600,84.11,1.00,0.84,277000000,"Local Pack, Images, Site Links, Reviews, Video","0.82,0.82,0.82,0.55,0.43,0.55,0.82,0.82,0.66,1.00,0.82,0.82"
low carb high protein,3600,90.63,0.95,0.87,73400000,"Images, Site Links, Reviews, Featured Snippet","0.54,0.44,0.44,1.00,0.67,0.67,0.81,0.67,0.67,0.67,0.54,0.44"
lucid car,3600,87.66,4.46,0.01,54800000,"Site Links, Reviews, Featured Snippet","1.00,0.67,0.54,0.54,0.54,0.54,0.54,0.67,0.44,0.81,0.67,0.54"
maggie sottero wedding dresses,3600,73.78,1.69,1.00,4700000,"Site Links, Reviews, Featured Snippet","0.54,0.54,0.54,0.81,0.67,0.67,0.54,1.00,0.81,0.67,0.81,1.00"
trailblazer car,3600,88.40,1.05,0.09,50400000,"Images, Site Links, Reviews","0.44,0.44,0.44,0.54,0.54,0.54,0.54,0.81,0.81,1.00,0.81,0.81"
used bmw 5 series,3600,80.16,2.26,0.56,264000000,"Images, Site Links, Reviews","1.00,0.81,0.81,1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00,0.81"
avenger car,2900,89.08,0.65,0.34,255000000,"Images, Site Links, Reviews","0.67,0.67,0.67,0.67,0.67,0.81,0.81,1.00,0.81,1.00,1.00,1.00"
cheap divorce lawyers,2900,63.08,5.15,0.92,114000000,"Local Pack, Site Links, Reviews","0.66,0.55,0.55,0.66,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.66"
cheese nutrition facts,2900,82.23,1.59,0.02,163000000,"Knowledge Panel, Site Links, Reviews, Featured Snippet","1.00,0.53,0.53,1.00,0.67,0.81,0.81,1.00,0.81,0.67,0.67,0.81"
ebay discount,2900,87.70,0.28,0.17,278000000,"Site Links, Reviews","0.66,1.00,1.00,0.82,0.43,0.66,0.55,0.55,0.55,0.55,0.43,0.43"
free uber,2900,83.92,1.04,0.15,980000000,"Top Stories, Images, Site Links, Reviews","0.54,0.67,1.00,0.81,0.54,0.44,0.35,0.35,0.44,0.44,0.35,0.30"
group health insurance,2900,79.57,16.29,0.76,1180000000,"Top Stories, Site Links, Featured Snippet","1.00,1.00,0.81,0.81,0.67,0.81,0.81,0.81,0.67,0.67,0.81,0.81"
ltd commodities promo code,2900,86.83,0.67,0.67,691000,"Site Links, Reviews","0.54,1.00,0.44,0.30,0.36,0.23,0.20,0.44,0.44,0.23,0.36,0.30"
pacific auto sales,2900,67.31,0.93,0.06,163000000,"Local Pack, Images, Site Links, Reviews","0.82,0.55,0.55,1.00,0.66,0.66,0.66,0.66,0.66,0.66,0.82,0.66"
reddit keto recipes,2900,76.62,0.47,0.01,4580000,"Images, Site Links, Reviews","0.66,0.55,0.55,1.00,0.66,0.66,0.66,0.66,0.55,0.55,0.66,0.55"
solitaire cube promo code,2900,61.28,0.00,0.00,63,"Images, Reviews, Featured Snippet","0.53,0.81,0.67,1.00,0.81,0.67,0.53,0.81,0.81,1.00,1.00,1.00"
commercial vehicle insurance,2400,77.23,23.79,0.93,323000000,"Reviews, Featured Snippet","1.00,0.79,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.79"
financial resources federal credit union,2400,84.03,2.27,0.00,64500000,"Local Pack, Images, Site Links, Reviews, Video","1.00,0.44,0.44,0.53,0.67,0.44,0.67,0.81,0.81,0.53,0.81,0.81"
g37 for sale,2400,75.86,0.47,0.37,6680000,"Images, Site Links, Reviews","0.79,0.79,0.79,1.00,1.00,1.00,1.00,1.00,0.79,1.00,1.00,1.00"
lemon law lawyers,2400,55.86,17.72,0.75,6980000,"Local Pack, Site Links, Reviews","0.79,0.67,0.79,1.00,1.00,1.00,1.00,1.00,1.00,0.79,1.00,1.00"
mobile desk,2400,84.33,1.98,1.00,2080000000,"Images, Site Links, Reviews","0.66,0.66,0.66,0.83,0.66,0.83,0.66,0.66,0.66,0.83,1.00,0.83"
rally cars for sale,2400,59.80,1.66,0.84,54500000,"Images, Site Links, Reviews","1.00,0.83,1.00,0.83,0.83,1.00,0.83,0.83,0.66,0.66,1.00,0.83"
thrifty car rental promo code,2400,85.43,0.53,0.37,430000,"Site Links, Reviews","0.55,0.55,0.55,0.83,0.83,1.00,0.83,0.83,0.83,1.00,0.83,0.66"
audi tt convertible,1900,92.25,1.57,0.55,24600000,"Knowledge Panel, Site Links, Reviews, Video","0.36,0.28,0.28,0.36,0.36,0.53,0.53,0.53,0.67,1.00,0.81,0.81"
bloomberg finance,1900,75.48,1.95,0.04,94,"Knowledge Panel, Top Stories, Site Links, Reviews","0.83,0.66,0.83,0.83,0.66,0.66,0.55,0.66,0.66,0.66,1.00,0.66"
dodge station wagon,1900,85.64,1.71,0.06,36500000,"Images, Site Links, Reviews, Video","0.55,0.55,0.55,0.55,0.55,0.66,0.66,0.66,0.66,1.00,1.00,0.83"
dogwood trees for sale,1900,73.39,0.36,1.00,3250000,"Images, Site Links, Reviews","0.15,0.11,0.09,0.11,0.20,0.44,1.00,0.82,0.36,0.20,0.20,0.20"
fansedge coupon code,1900,86.84,0.30,0.16,119000,"Site Links, Reviews, Video","0.35,0.44,1.00,0.24,0.11,0.19,0.19,0.30,0.35,0.24,0.44,0.35"
low carb diet for diabetics,1900,85.62,1.18,0.47,3940000,"Images, Site Links, Reviews, Featured Snippet","0.79,0.79,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
watering wand,1900,72.36,0.52,1.00,5310000,"Images, Site Links, Reviews","0.20,0.16,0.16,0.16,0.20,0.36,0.55,1.00,1.00,0.66,0.43,0.36"
yahoo finance usa,1900,84.28,0.74,0.12,15,"Top Stories, Images, Site Links","1.00,0.79,0.79,0.67,0.54,0.79,0.79,0.67,0.54,0.67,0.79,0.67"
zerorez promo code,1900,65.66,3.91,0.38,87,"Images, Site Links, Reviews, Video","0.83,1.00,0.45,0.45,0.55,0.83,0.83,0.83,0.83,0.66,0.66,0.55"
21 day fix eating plan,1600,79.02,0.48,1.00,55400000,"Images, Site Links, Reviews","0.67,0.54,0.42,0.79,0.79,1.00,0.67,0.54,0.54,0.67,0.67,0.54"
auto lawyers,1600,66.61,39.40,0.57,122000000,"Site Links, Reviews","0.84,0.84,0.68,0.84,0.84,1.00,0.84,0.84,0.84,1.00,1.00,1.00"
cheap bankruptcy lawyers,1600,59.36,10.64,0.92,89900000,"Local Pack, Site Links, Reviews","0.83,0.34,0.34,0.83,0.34,0.83,0.45,1.00,0.55,0.45,0.66,0.55"
ford mustang convertible for sale,1600,89.76,1.38,0.93,82,"Images, Site Links, Reviews","0.84,0.53,0.53,0.68,0.84,1.00,1.00,1.00,1.00,1.00,1.00,0.84"
keto bbq,1600,77.70,0.41,0.71,23200000,"Images, Site Links, Reviews, Video","0.42,0.30,0.30,1.00,0.54,0.67,0.67,0.79,0.79,0.79,0.67,0.54"
land rover evoque used,1600,84.42,1.17,0.62,13200000,"Images, Site Links, Reviews","0.81,1.00,1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00,0.81,0.63"
