Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
kmi stock price,12100,89.60,2.60,0.00,95,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.82,0.67,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00,0.82,0.82"
davids bridal bridesmaid dresses,9900,90.01,1.34,1.00,85,"Site Links, Reviews, Video, Featured Snippet","0.45,0.20,0.16,0.36,0.36,0.82,1.00,0.82,0.67,0.82,1.00,0.82"
home equity,9900,87.18,7.84,0.68,572000000,"Knowledge Panel, Top Stories, Site Links, Featured Snippet","0.82,0.67,0.67,0.82,0.82,1.00,1.00,0.82,0.82,1.00,1.00,0.82"
maternity coat,9900,86.60,1.25,1.00,89800000,"Images, Site Links, Reviews","0.82,1.00,0.45,0.30,0.11,0.04,0.02,0.02,0.03,0.06,0.13,0.24"
morphe discount code,9900,79.07,0.72,0.60,1040000,"Images, Site Links, Reviews","0.45,0.82,1.00,0.36,0.45,0.45,0.36,0.30,0.45,0.30,0.30,0.30"
rite aid stock price,9900,92.38,8.18,0.00,97,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.82,0.67,0.82,1.00,0.67,0.82,1.00,0.82,0.67,0.67,0.55,0.67"
toyota payment,9900,72.82,2.90,0.05,527000000,"Site Links, Reviews","0.82,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00"
traffic lawyer,9900,65.66,6.15,0.61,362000000,"Local Pack, Images, Reviews","1.00,0.82,0.67,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00"
under armour sweatpants,9900,85.98,0.79,1.00,11500000,"Images, Site Links, Reviews, Video","0.67,1.00,1.00,0.45,0.36,0.36,0.20,0.16,0.13,0.16,0.20,0.30"
wedding party dresses,9900,85.36,0.64,1.00,291000000,"Images, Site Links, Reviews","0.67,0.45,0.45,0.67,0.67,0.82,0.82,0.82,0.82,1.00,1.00,1.00"
expedia stock,8100,92.25,4.95,0.01,84800000,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.82,0.36,0.36,0.45,1.00,0.55,0.55,0.67,0.36,0.67,0.36,0.36"
fastenal stock,8100,90.60,0.72,0.04,96,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.55,0.45,0.36,0.67,0.55,0.45,1.00,0.82,0.67,0.67,0.55,0.55"
gdxj stock,8100,89.00,8.50,0.02,125000,"Instant Answer, Knowledge Panel, Site Links, Video","0.30,0.20,0.36,0.45,0.30,0.45,0.45,0.45,0.67,0.82,1.00,0.82"
korean style,8100,83.21,1.91,0.48,1210000000,"Images, Site Links, Reviews","0.67,1.00,0.67,0.67,0.55,0.67,0.67,0.55,0.55,0.67,0.67,0.67"
olli stock,8100,90.72,4.17,0.00,15700000,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews, Video","0.30,0.30,0.55,0.36,0.20,0.45,0.67,0.55,0.67,0.55,1.00,0.67"
raymour and flanigan coupon,8100,83.95,2.47,1.00,223000,"Images, Reviews","0.30,1.00,0.67,0.36,0.36,0.55,0.55,0.55,0.45,0.36,0.36,0.45"
united concordia tricare,8100,74.91,3.85,0.01,125000,"Images, Site Links","1.00,0.82,0.67,1.00,0.82,1.00,0.82,0.82,0.82,1.00,1.00,0.82"
usa insurance,8100,68.60,21.10,0.72,1270000000,"Local Pack, Site Links","0.81,0.81,0.81,0.81,0.81,1.00,0.81,1.00,0.81,1.00,1.00,1.00"
zendesk stock,8100,88.15,4.12,0.00,93,"Instant Answer, Knowledge Panel, Top Stories, Site Links, Reviews, Video","0.45,0.36,0.30,0.36,1.00,0.67,0.67,0.82,0.55,0.67,0.82,0.45"
green arrow loans,6600,60.07,1.18,0.31,93,"Images, Reviews, Video","0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00"
jeep wagoneer for sale,6600,85.72,1.26,0.89,90,"Images, Site Links, Reviews","0.67,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00"
ntap stock,6600,89.35,4.31,0.00,237000,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews, Video","0.55,0.82,0.36,0.36,0.67,0.36,0.45,0.82,0.45,0.36,1.00,0.36"
sallie mae loans,6600,84.30,11.85,0.39,1160000,"Site Links, Reviews, Featured Snippet","0.45,0.45,0.45,0.55,0.36,0.45,0.45,0.45,0.55,1.00,1.00,0.55"
seo agency,6600,59.26,14.33,0.39,224000000,"Site Links, Reviews","0.54,0.44,0.44,0.54,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.81"
tight pants,6600,87.80,0.85,1.00,413000000,"Images, Reviews, Video","0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.67,0.81,1.00,1.00"
avxl stock,5400,87.26,0.00,0.00,100,"Instant Answer, Knowledge Panel, Top Stories, Images, Site Links, Reviews","0.44,0.36,0.24,0.29,0.44,0.67,0.36,0.67,0.55,0.82,0.55,1.00"
gap baby boy,5400,75.18,0.95,1.00,78,"Site Links, Reviews, Featured Snippet","0.67,1.00,0.67,0.55,0.44,0.55,0.55,0.44,0.44,0.44,0.55,0.55"
leopard jacket,5400,92.13,0.68,1.00,155000000,"Images, Reviews","0.82,1.00,1.00,0.55,0.45,0.30,0.16,0.13,0.08,0.13,0.30,0.55"
purple cocktail dresses,5400,88.88,0.96,1.00,88900000,"Images, Reviews","0.67,0.54,0.44,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.81,1.00"
red silk dress,5400,88.16,0.78,1.00,275000000,"Images, Reviews","0.67,0.55,0.55,0.67,0.55,0.44,0.55,0.44,0.44,0.55,0.67,1.00"
snss stock,5400,88.35,3.34,0.00,178000,"Instant Answer, Knowledge Panel, Images, Site Links, Reviews","0.13,0.13,0.29,0.55,0.24,1.00,1.00,0.55,0.67,0.82,0.44,0.36"
trousers for men,5400,0.00,1.60,1.00,0,,"0.67,0.67,0.55,0.67,0.67,0.67,0.82,1.00,1.00,1.00,1.00,0.82"
women's plus size clothing online,5400,80.34,1.39,1.00,192000000,"Site Links, Reviews","1.00,1.00,0.55,0.44,0.44,1.00,0.67,0.82,0.82,0.67,0.82,0.82"
arm mortgage,4400,89.85,4.46,0.35,62000000,"Knowledge Panel, Top Stories, Site Links, Reviews, Featured Snippet","1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81"
beans nutrition,4400,83.81,2.16,0.00,306000000,"Knowledge Panel, Site Links, Reviews, Featured Snippet","0.81,0.67,0.67,1.00,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.67"
direct lender loans,4400,71.18,2.71,0.85,47200000,"Site Links, Reviews","1.00,0.81,1.00,0.67,0.44,0.54,0.81,1.00,1.00,1.00,1.00,0.81"
executive office desk,4400,83.78,2.04,1.00,270000000,"Local Pack, Images, Site Links, Reviews","0.67,0.81,0.81,0.81,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.81"
keto plan,4400,86.01,1.10,0.93,214000000,"Top Stories, Images, Site Links, Reviews, Featured Snippet","0.44,0.44,0.55,0.82,0.67,0.67,0.82,0.67,0.82,1.00,1.00,1.00"
long evening gowns,4400,86.44,0.79,1.00,79300000,"Images, Site Links, Reviews","0.81,0.81,0.67,1.00,0.81,0.81,0.67,0.67,0.54,0.67,0.81,0.81"
low carb spaghetti sauce,4400,76.91,0.48,1.00,11300000,Reviews,"0.44,0.36,0.30,1.00,0.67,0.54,0.54,0.44,0.44,0.54,0.54,0.44"
low income health insurance,4400,81.91,6.62,0.89,213000000,"Top Stories, Site Links, Featured Snippet","1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.54,0.67,0.67,0.67"
peach bridesmaid dresses,4400,83.99,1.08,1.00,29300000,"Images, Reviews, Video","0.67,0.54,0.54,1.00,0.81,1.00,0.81,0.67,0.81,1.00,1.00,0.81"
ps store discount code,4400,86.51,1.46,0.38,96,"Images, Site Links, Reviews, Video","0.67,1.00,1.00,0.67,0.67,0.67,0.55,0.55,0.67,0.55,0.55,0.55"
toyota convertible,4400,86.39,1.17,0.18,0,"Knowledge Panel, Site Links, Reviews","0.44,0.36,0.30,0.36,0.44,0.54,0.67,0.67,0.81,1.00,1.00,0.67"
all inclusive family resorts caribbean,3600,82.25,1.69,0.61,29000000,Featured Snippet,"0.81,0.54,0.54,1.00,0.81,0.67,0.67,0.54,0.54,0.67,0.54,0.44"
amazon prime coupon,3600,84.72,1.28,0.28,56300000,"Site Links, Reviews","0.55,0.67,0.82,0.55,0.36,0.44,0.55,0.44,0.44,1.00,0.67,0.55"
healthy weekly meal plan,3600,81.14,1.23,0.62,251000000,"Images, Site Links, Reviews","0.54,0.44,0.44,1.00,0.67,0.67,0.81,0.54,0.54,0.67,0.81,0.81"
mens fashion nova,3600,90.15,0.94,1.00,95,"Images, Site Links, Reviews","1.00,1.00,0.81,1.00,1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.81"
no carb recipes,3600,87.25,0.19,0.24,196000000,"Site Links, Reviews","0.55,0.36,0.36,1.00,0.82,0.67,0.55,0.55,0.55,0.44,0.44,0.44"
shein coupon code 2019,3600,85.47,0.61,0.82,4810000,"Site Links, Reviews","0.00,0.00,0.00,0.16,0.82,1.00,0.67,0.36,0.29,0.82,0.29,0.29"
wwr stock,3600,88.10,5.30,0.02,1370000,"Instant Answer, Knowledge Panel, Images, Site Links, Reviews","1.00,0.82,0.44,0.44,0.55,0.36,0.82,0.55,0.29,0.20,0.29,0.44"
2016 mustang gt for sale,2900,89.26,0.89,0.72,25500000,"Images, Site Links, Reviews","0.83,0.83,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
bath and body works 20 off,2900,88.22,0.69,0.65,132000000,"Images, Site Links, Reviews","0.10,0.44,1.00,0.13,0.10,0.19,0.16,0.13,0.29,0.19,0.36,0.36"
carbs in coconut flour,2900,81.43,1.14,0.87,7040000,"Images, Site Links, Reviews, Video, Featured Snippet","0.54,0.44,0.35,1.00,0.67,0.67,0.54,0.44,0.44,0.54,0.54,0.54"
elan clothing,2900,81.62,0.37,1.00,20000000,"Site Links, Reviews, Featured Snippet","0.83,0.66,0.55,0.83,0.83,1.00,1.00,1.00,1.00,1.00,1.00,0.83"
kohls 40 off,2900,78.05,0.45,0.01,7350000,"Images, Site Links, Reviews, Video","0.55,1.00,0.67,0.55,0.29,0.44,0.24,0.44,0.20,0.44,0.29,0.24"
low carb bars,2900,80.40,0.95,1.00,46900000,"Images, Site Links, Reviews","0.66,0.36,0.30,1.00,0.82,0.82,0.66,0.66,0.66,0.66,0.82,0.55"
modular building,2900,58.49,2.80,1.00,256000000,"Knowledge Panel, Top Stories, Site Links","0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00"
office depot promo code,2900,88.58,2.00,0.21,12200000,"Site Links, Reviews","0.66,1.00,0.66,0.66,0.66,0.66,0.55,0.55,0.55,0.66,0.82,0.66"
poplin shirt,2900,82.58,0.99,1.00,19800000,"Reviews, Featured Snippet","0.67,0.67,0.53,0.67,0.53,0.81,0.81,0.81,0.81,1.00,1.00,0.81"
t mobile promo code,2900,86.23,1.25,0.24,478000000,"Site Links, Reviews","0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67"
aaa travel packages,2400,90.31,1.19,0.35,183000000,"Site Links, Reviews","0.43,0.36,0.43,1.00,0.55,0.55,0.55,0.66,0.66,0.55,0.43,0.36"
black and white cocktail dresses,2400,88.52,1.14,1.00,150000000,"Images, Site Links, Reviews, Video","0.83,1.00,0.66,0.83,0.66,1.00,1.00,1.00,0.66,0.83,1.00,0.83"
kpop clothes,2400,74.78,0.40,1.00,22700000,"Images, Site Links","0.83,1.00,0.83,0.83,0.66,0.66,0.66,0.83,0.83,1.00,0.83,1.00"
long sleeve plus size prom dresses,2400,80.36,0.50,1.00,61900000,"Images, Site Links, Reviews, Video","0.24,0.24,0.30,1.00,0.81,1.00,0.81,0.30,0.11,0.13,0.16,0.30"
peapod coupon code,2400,85.26,5.46,0.20,162000,"Site Links, Reviews","0.66,0.66,0.66,0.83,0.66,0.66,0.66,0.83,0.83,0.83,1.00,1.00"
petite plus size dresses,2400,82.63,0.92,1.00,87300000,"Images, Site Links, Reviews","0.44,0.36,0.28,0.44,0.53,0.81,1.00,1.00,0.81,0.67,0.67,0.67"
pink mother of the bride dress,2400,86.79,0.70,1.00,80600000,"Images, Site Links, Reviews","0.55,0.34,0.34,1.00,0.83,1.00,1.00,0.66,0.83,0.83,0.83,0.83"
sf90 stradale,2400,84.87,6.12,0.00,1440000,"Images, Site Links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.67"
totally free dating sites,2400,68.55,1.12,0.86,85,"Images, Reviews, Video, Featured Snippet","1.00,0.81,1.00,1.00,0.81,1.00,0.67,0.44,0.36,0.44,0.44,0.36"
zazzle wedding invitations,2400,81.18,4.33,1.00,48,"Site Links, Reviews, Video, Featured Snippet","0.30,0.30,0.36,1.00,0.66,0.55,0.43,0.43,0.66,0.82,0.66,0.43"
cheap divorce lawyers near me,1900,61.79,4.97,0.89,156000000,"Local Pack, Site Links, Reviews","0.67,0.54,0.54,1.00,0.79,1.00,0.79,0.67,0.79,0.79,0.79,0.79"
